X,Y
-3.587174,-151.088395
-3.547094,-125.642195
-3.507014,161.160995
-3.466934,-132.414362
-3.426854,34.960376
-3.386774,-137.817053
-3.346693,46.974428
-3.306613,-6.368869
-3.266533,-59.231209
-3.226453,-46.369293
-3.186373,-106.519406
-3.146293,4.797206
-3.106212,-84.099328
-3.066132,-159.973918
-3.026052,-164.040663
-2.985972,-17.842686
-2.945892,123.932259
-2.905812,-16.873717
-2.865731,-43.653151
-2.825651,-2.143382
-2.785571,100.917458
-2.745491,-6.721036
-2.705411,-68.748237
-2.665331,83.957666
-2.625251,17.169477
-2.585170,128.815393
-2.545090,-5.509685
-2.505010,-145.371647
-2.464930,-158.850776
-2.424850,143.929520
-2.384770,152.056770
-2.344689,-37.426171
-2.304609,-56.975155
-2.264529,128.288302
-2.224449,-127.777740
-2.184369,-105.780063
-2.144289,48.774176
-2.104208,-54.286918
-2.064128,-14.623061
-2.024048,-29.756006
-1.983968,21.028717
-1.943888,128.686439
-1.903808,-2.352059
-1.863727,53.618927
-1.823647,-215.171973
-1.783567,-14.421628
-1.743487,-93.282861
-1.703407,-130.266014
-1.663327,-95.639454
-1.623246,-40.690512
-1.583166,84.843888
-1.543086,-138.867893
-1.503006,-2.661589
-1.462926,-53.651467
-1.422846,-37.525095
-1.382766,95.981453
-1.342685,49.967580
-1.302605,130.333317
-1.262525,-18.432295
-1.222445,-72.163732
-1.182365,-24.555413
-1.142285,22.467963
-1.102204,16.251504
-1.062124,-109.480491
-1.022044,8.359897
-0.981964,22.475004
-0.941884,251.729669
-0.901804,187.985855
-0.861723,-84.714584
-0.821643,-27.830806
-0.781563,-145.149277
-0.741483,-57.598577
-0.701403,33.299827
-0.661323,122.582085
-0.621242,-70.663878
-0.581162,-62.931774
-0.541082,-212.016896
-0.501002,-13.334481
-0.460922,-103.098066
-0.420842,-49.597950
-0.380762,-84.145922
-0.340681,-5.700197
-0.300601,-171.868946
-0.260521,-142.630671
-0.220441,217.160844
-0.180361,-124.351334
-0.140281,-105.140137
-0.100200,188.370168
-0.060120,295.319019
-0.020040,-112.217590
0.020040,-31.765575
0.060120,39.328796
0.100200,178.150788
0.140281,-93.302843
0.180361,-19.048829
0.220441,83.303248
0.260521,49.131269
0.300601,-31.880944
0.340681,-7.572610
0.380762,-131.609654
0.420842,-17.871798
0.460922,-20.631920
0.501002,29.280865
0.541082,-49.415809
0.581162,53.319984
0.621242,107.483307
0.661323,21.796819
0.701403,41.468451
0.741483,11.644222
0.781563,6.370152
0.821643,-65.763724
0.861723,38.069406
0.901804,-3.283053
0.941884,215.785986
0.981964,163.826307
1.022044,45.095440
1.062124,-69.776469
1.102204,-104.694734
1.142285,125.676755
1.182365,32.852509
1.222445,54.606325
1.262525,-167.852749
1.302605,99.363221
1.342685,52.074781
1.382766,-104.396901
1.422846,-40.492655
1.462926,33.045636
1.503006,11.935309
1.543086,-22.512957
1.583166,-3.628123
1.623246,-18.459287
1.663327,22.013846
1.703407,153.927526
1.743487,-249.864997
1.783567,-16.859685
1.823647,24.503247
1.863727,36.480431
1.903808,-30.278843
1.943888,-168.725230
1.983968,39.783771
2.024048,179.759655
2.064128,-146.317768
2.104208,93.498435
2.144289,-25.685913
2.184369,1.089060
2.224449,-98.009371
2.264529,-26.101857
2.304609,137.415987
2.344689,65.749501
2.384770,180.792460
2.424850,125.384878
2.464930,51.640007
2.505010,182.217895
2.545090,51.822509
2.585170,90.826601
2.625251,-21.518690
2.665331,14.909836
2.705411,-61.363859
2.745491,107.466797
2.785571,-109.185273
2.825651,87.023809
2.865731,-10.125454
2.905812,126.222622
2.945892,84.350652
2.985972,191.501980
3.026052,82.696409
3.066132,-147.395352
3.106212,3.311440
3.146293,-106.987333
3.186373,-41.399233
3.226453,161.775890
3.266533,74.639847
3.306613,-58.763842
3.346693,-89.990290
3.386774,14.921604
3.426854,-109.740776
3.466934,-54.916855
3.507014,43.690336
3.547094,128.323284
3.587174,73.981587
3.627255,-215.699289
3.667335,44.201612
3.707415,21.314821
3.747495,55.858459
3.787575,176.459999
3.827655,-191.103368
3.867735,-43.496434
3.907816,75.110204
3.947896,-141.721798
3.987976,164.463218
4.028056,54.147438
4.068136,102.426626
4.108216,-38.856509
4.148297,100.097230
4.188377,126.064585
4.228457,43.015560
4.268537,43.692128
4.308617,47.824789
4.348697,-64.991297
4.388778,7.157659
4.428858,7.240295
4.468938,61.428874
4.509018,123.683964
4.549098,-81.524714
4.589178,12.470845
4.629259,173.775846
4.669339,-48.054104
4.709419,-55.229778
4.749499,47.932618
4.789579,112.863757
4.829659,30.307738
4.869739,162.817936
4.909820,116.375063
4.949900,115.668695
4.989980,87.706791
5.030060,265.886526
5.070140,13.448938
5.110220,-165.525224
5.150301,196.132543
5.190381,-9.164341
5.230461,48.310731
5.270541,169.413620
5.310621,-120.812563
5.350701,-84.777323
5.390782,-118.747027
5.430862,-37.019941
5.470942,87.390018
5.511022,96.897751
5.551102,73.179127
5.591182,-94.631811
5.631263,-183.251977
5.671343,54.328027
5.711423,2.870272
5.751503,97.162759
5.791583,122.617144
5.831663,67.465009
5.871743,130.894937
5.911824,79.065400
5.951904,110.435433
5.991984,-11.731406
6.032064,42.104188
6.072144,81.094993
6.112224,144.845121
6.152305,24.816078
6.192385,117.728067
6.232465,40.472024
6.272545,56.769859
6.312625,152.967956
6.352705,-127.774012
6.392786,-56.575046
6.432866,-73.581808
6.472946,-157.135759
6.513026,10.013299
6.553106,154.421985
6.593186,52.654196
6.633267,102.610968
6.673347,193.468607
6.713427,219.056104
6.753507,81.140258
6.793587,225.205323
6.833667,100.878396
6.873747,9.771412
6.913828,35.943404
6.953908,-50.771113
6.993988,10.395339
7.034068,65.360521
7.074148,183.501631
7.114228,277.228718
7.154309,-31.029952
7.194389,148.535465
7.234469,7.291088
7.274549,160.936394
7.314629,102.507855
7.354709,-65.295402
7.394790,212.832559
7.434870,61.739680
7.474950,71.116023
7.515030,19.826700
7.555110,63.699298
7.595190,174.272340
7.635271,114.944708
7.675351,169.151560
7.715431,174.924327
7.755511,273.275845
7.795591,109.439553
7.835671,-1.427981
7.875752,255.551010
7.915832,118.282449
7.955912,265.524731
7.995992,195.069335
8.036072,146.316116
8.076152,197.038006
8.116232,360.024716
8.156313,375.417245
8.196393,177.485919
8.236473,189.428553
8.276553,283.928466
8.316633,94.666764
8.356713,215.501976
8.396794,182.604574
8.436874,219.611640
8.476954,107.948131
8.517034,35.426883
8.557114,-9.781470
8.597194,88.946516
8.637275,158.020459
8.677355,177.807089
8.717435,404.123017
8.757515,324.308476
8.797595,120.845045
8.837675,255.205992
8.877756,183.144478
8.917836,198.869432
8.957916,249.328446
8.997996,296.239803
9.038076,203.960591
9.078156,347.872472
9.118236,130.931700
9.158317,249.435150
9.198397,512.282048
9.238477,278.573985
9.278557,403.376894
9.318637,273.035184
9.358717,325.827081
9.398798,265.975935
9.438878,258.557248
9.478958,201.632580
9.519038,326.633026
9.559118,202.510691
9.599198,358.324095
9.639279,404.435268
9.679359,336.740734
9.719439,275.683967
9.759519,353.967060
9.799599,282.005466
9.839679,410.770555
9.879760,138.459299
9.919840,292.464423
9.959920,131.410594
10.000000,185.493917
